Program,Service,Activity,Category,Category Name,Expense/Revenue,Sum - 2016
Toronto Zoo,Zoo Fundraising & Strategic Partnerships,Zoo Fundraising & Strategic Partnerships,510A,Contribution To Reserves/Reserve Funds,Expenses,"1,874"
Toronto Zoo,Zoo Visitor Services,Zoo Visitor Services,100A,Salaries And Benefits,Expenses,"14,584,402"
Toronto Zoo,Zoo Visitor Services,Zoo Visitor Services,200A,Materials & Supplies,Expenses,"5,272,605"
Toronto Zoo,Zoo Visitor Services,Zoo Visitor Services,300A,Equipment,Expenses,"193,523"
Toronto Zoo,Zoo Visitor Services,Zoo Visitor Services,400A,Service And Rent,Expenses,"9,278,854"
Toronto Zoo,Zoo Visitor Services,Zoo Visitor Services,510A,Contribution To Reserves/Reserve Funds,Expenses,"959,438"
Transportation Services,TP-Permits & Applications,Construction Permits,100A,Salaries And Benefits,Expenses,"4,486,439"
Transportation Services,TP-Permits & Applications,Construction Permits,200A,Materials & Supplies,Expenses,"96,961"
Transportation Services,TP-Permits & Applications,Construction Permits,300A,Equipment,Expenses,"5,251"
Transportation Services,TP-Permits & Applications,Construction Permits,400A,Service And Rent,Expenses,"78,855"
Transportation Services,TP-Permits & Applications,Construction Permits,510A,Contribution To Reserves/Reserve Funds,Expenses,"32,873"
Transportation Services,TP-Permits & Applications,Construction Permits,650A,Other Expenditures,Expenses,"43,950"
Transportation Services,TP-Permits & Applications,Construction Permits,700A,Inter-Divisional Charges,Expenses,"189,346"
Transportation Services,TP-Permits & Applications,Development Review Applications,100A,Salaries And Benefits,Expenses,"2,926,591"
Transportation Services,TP-Permits & Applications,Development Review Applications,200A,Materials & Supplies,Expenses,"104,328"
Transportation Services,TP-Permits & Applications,Development Review Applications,300A,Equipment,Expenses,"7,955"
Transportation Services,TP-Permits & Applications,Development Review Applications,400A,Service And Rent,Expenses,"60,193"
Transportation Services,TP-Permits & Applications,Development Review Applications,510A,Contribution To Reserves/Reserve Funds,Expenses,"1,117"
Transportation Services,TP-Permits & Applications,Development Review Applications,650A,Other Expenditures,Expenses,17
Transportation Services,TP-Permits & Applications,Development Review Applications,700A,Inter-Divisional Charges,Expenses,"91,647"
Transportation Services,TP-Permits & Applications,Parking Permits,100A,Salaries And Benefits,Expenses,"3,897,427"
Transportation Services,TP-Permits & Applications,Parking Permits,200A,Materials & Supplies,Expenses,"107,179"
Transportation Services,TP-Permits & Applications,Parking Permits,300A,Equipment,Expenses,"6,799"
Transportation Services,TP-Permits & Applications,Parking Permits,400A,Service And Rent,Expenses,"305,471"
Transportation Services,TP-Permits & Applications,Parking Permits,510A,Contribution To Reserves/Reserve Funds,Expenses,"28,790"
Transportation Services,TP-Permits & Applications,Parking Permits,650A,Other Expenditures,Expenses,"236,440"
Transportation Services,TP-Permits & Applications,Parking Permits,700A,Inter-Divisional Charges,Expenses,"489,893"
Transportation Services,TP-Permits & Applications,Street Events,100A,Salaries And Benefits,Expenses,"1,957,790"
Transportation Services,TP-Permits & Applications,Street Events,200A,Materials & Supplies,Expenses,"96,730"
Transportation Services,TP-Permits & Applications,Street Events,300A,Equipment,Expenses,"6,339"
Transportation Services,TP-Permits & Applications,Street Events,400A,Service And Rent,Expenses,"171,754"
Transportation Services,TP-Permits & Applications,Street Events,510A,Contribution To Reserves/Reserve Funds,Expenses,"14,748"
Transportation Services,TP-Permits & Applications,Street Events,650A,Other Expenditures,Expenses,"29,966"
Transportation Services,TP-Permits & Applications,Street Events,700A,Inter-Divisional Charges,Expenses,"182,345"
Transportation Services,TP-Road & Sidewalk Management,"Infrastructure Planning, Programming & Budgeting",100A,Salaries And Benefits,Expenses,"5,062,114"
Transportation Services,TP-Road & Sidewalk Management,"Infrastructure Planning, Programming & Budgeting",200A,Materials & Supplies,Expenses,"11,736"
Transportation Services,TP-Road & Sidewalk Management,"Infrastructure Planning, Programming & Budgeting",300A,Equipment,Expenses,"56,048"
Transportation Services,TP-Road & Sidewalk Management,"Infrastructure Planning, Programming & Budgeting",400A,Service And Rent,Expenses,"197,358"
Transportation Services,TP-Road & Sidewalk Management,"Infrastructure Planning, Programming & Budgeting",510A,Contribution To Reserves/Reserve Funds,Expenses,"7,793"
Transportation Services,TP-Road & Sidewalk Management,"Infrastructure Planning, Programming & Budgeting",650A,Other Expenditures,Expenses,17
Transportation Services,TP-Road & Sidewalk Management,"Infrastructure Planning, Programming & Budgeting",700A,Inter-Divisional Charges,Expenses,"197,484"
Transportation Services,TP-Road & Sidewalk Management,Patrols & Investigations,100A,Salaries And Benefits,Expenses,"4,343,335"
Transportation Services,TP-Road & Sidewalk Management,Patrols & Investigations,200A,Materials & Supplies,Expenses,"94,584"
Transportation Services,TP-Road & Sidewalk Management,Patrols & Investigations,300A,Equipment,Expenses,"4,941"
Transportation Services,TP-Road & Sidewalk Management,Patrols & Investigations,400A,Service And Rent,Expenses,"92,366"
Transportation Services,TP-Road & Sidewalk Management,Patrols & Investigations,510A,Contribution To Reserves/Reserve Funds,Expenses,"51,773"
Transportation Services,TP-Road & Sidewalk Management,Patrols & Investigations,650A,Other Expenditures,Expenses,17
Transportation Services,TP-Road & Sidewalk Management,Patrols & Investigations,700A,Inter-Divisional Charges,Expenses,"368,718"
Transportation Services,TP-Road & Sidewalk Management,Pedestrian & Cycling Infrastructure & Programs,100A,Salaries And Benefits,Expenses,"3,017,233"
Transportation Services,TP-Road & Sidewalk Management,Pedestrian & Cycling Infrastructure & Programs,200A,Materials & Supplies,Expenses,"24,093"
Transportation Services,TP-Road & Sidewalk Management,Pedestrian & Cycling Infrastructure & Programs,300A,Equipment,Expenses,"67,080"
Transportation Services,TP-Road & Sidewalk Management,Pedestrian & Cycling Infrastructure & Programs,400A,Service And Rent,Expenses,"362,246"
Transportation Services,TP-Road & Sidewalk Management,Pedestrian & Cycling Infrastructure & Programs,650A,Other Expenditures,Expenses,"105,496"
Transportation Services,TP-Road & Sidewalk Management,Pedestrian & Cycling Infrastructure & Programs,700A,Inter-Divisional Charges,Expenses,"114,908"
Transportation Services,TP-Road & Sidewalk Management,Public Realm Improvements & Programs,100A,Salaries And Benefits,Expenses,"4,304,046"
Transportation Services,TP-Road & Sidewalk Management,Public Realm Improvements & Programs,200A,Materials & Supplies,Expenses,"212,125"
Transportation Services,TP-Road & Sidewalk Management,Public Realm Improvements & Programs,300A,Equipment,Expenses,"239,439"
Transportation Services,TP-Road & Sidewalk Management,Public Realm Improvements & Programs,400A,Service And Rent,Expenses,"2,757,619"
Transportation Services,TP-Road & Sidewalk Management,Public Realm Improvements & Programs,510A,Contribution To Reserves/Reserve Funds,Expenses,"25,712"
Transportation Services,TP-Road & Sidewalk Management,Public Realm Improvements & Programs,650A,Other Expenditures,Expenses,"377,907"
Transportation Services,TP-Road & Sidewalk Management,Public Realm Improvements & Programs,700A,Inter-Divisional Charges,Expenses,"1,676,887"
Transportation Services,TP-Road & Sidewalk Management,Road & Sidewalk Repairs & Cleaning,100A,Salaries And Benefits,Expenses,"24,371,506"
Transportation Services,TP-Road & Sidewalk Management,Road & Sidewalk Repairs & Cleaning,200A,Materials & Supplies,Expenses,"2,854,016"
Transportation Services,TP-Road & Sidewalk Management,Road & Sidewalk Repairs & Cleaning,300A,Equipment,Expenses,"128,920"
Transportation Services,TP-Road & Sidewalk Management,Road & Sidewalk Repairs & Cleaning,400A,Service And Rent,Expenses,"91,810,808"
Transportation Services,TP-Road & Sidewalk Management,Road & Sidewalk Repairs & Cleaning,510A,Contribution To Reserves/Reserve Funds,Expenses,"10,708,715"
Transportation Services,TP-Road & Sidewalk Management,Road & Sidewalk Repairs & Cleaning,650A,Other Expenditures,Expenses,267
Transportation Services,TP-Road & Sidewalk Management,Road & Sidewalk Repairs & Cleaning,700A,Inter-Divisional Charges,Expenses,"6,698,920"
Transportation Services,TP-Road & Sidewalk Management,Winter Operations,100A,Salaries And Benefits,Expenses,"20,670,993"
Transportation Services,TP-Road & Sidewalk Management,Winter Operations,200A,Materials & Supplies,Expenses,"12,210,327"
Transportation Services,TP-Road & Sidewalk Management,Winter Operations,300A,Equipment,Expenses,"46,248"
Transportation Services,TP-Road & Sidewalk Management,Winter Operations,400A,Service And Rent,Expenses,"70,899,171"
Transportation Services,TP-Road & Sidewalk Management,Winter Operations,510A,Contribution To Reserves/Reserve Funds,Expenses,"9,442,322"
Transportation Services,TP-Road & Sidewalk Management,Winter Operations,650A,Other Expenditures,Expenses,17
Transportation Services,TP-Road & Sidewalk Management,Winter Operations,700A,Inter-Divisional Charges,Expenses,"3,985,575"
Transportation Services,TP-Transportation Safety & Operations,Traffic Signal Installation & Maintenance,100A,Salaries And Benefits,Expenses,"1,805,226"
Transportation Services,TP-Transportation Safety & Operations,Traffic Signal Installation & Maintenance,200A,Materials & Supplies,Expenses,"27,828,948"
Transportation Services,TP-Transportation Safety & Operations,Traffic Signal Installation & Maintenance,300A,Equipment,Expenses,"5,551"
Transportation Services,TP-Transportation Safety & Operations,Traffic Signal Installation & Maintenance,400A,Service And Rent,Expenses,"28,696,376"
Transportation Services,TP-Transportation Safety & Operations,Traffic Signal Installation & Maintenance,510A,Contribution To Reserves/Reserve Funds,Expenses,"1,393"
Transportation Services,TP-Transportation Safety & Operations,Traffic Signal Installation & Maintenance,650A,Other Expenditures,Expenses,17
Transportation Services,TP-Transportation Safety & Operations,Traffic Signal Installation & Maintenance,700A,Inter-Divisional Charges,Expenses,"245,235"
Transportation Services,TP-Transportation Safety & Operations,Traffic Signs & Pavement Markings,100A,Salaries And Benefits,Expenses,"5,462,430"
Transportation Services,TP-Transportation Safety & Operations,Traffic Signs & Pavement Markings,200A,Materials & Supplies,Expenses,"875,322"
Transportation Services,TP-Transportation Safety & Operations,Traffic Signs & Pavement Markings,300A,Equipment,Expenses,"21,221"
Transportation Services,TP-Transportation Safety & Operations,Traffic Signs & Pavement Markings,400A,Service And Rent,Expenses,"3,321,068"
Transportation Services,TP-Transportation Safety & Operations,Traffic Signs & Pavement Markings,510A,Contribution To Reserves/Reserve Funds,Expenses,"104,348"
Transportation Services,TP-Transportation Safety & Operations,Traffic Signs & Pavement Markings,650A,Other Expenditures,Expenses,17
Transportation Services,TP-Transportation Safety & Operations,Traffic Signs & Pavement Markings,700A,Inter-Divisional Charges,Expenses,"560,777"
Transportation Services,TP-Transportation Safety & Operations,Transportation Information & Monitoring Systems,100A,Salaries And Benefits,Expenses,"5,561,259"
Transportation Services,TP-Transportation Safety & Operations,Transportation Information & Monitoring Systems,200A,Materials & Supplies,Expenses,"405,371"
Transportation Services,TP-Transportation Safety & Operations,Transportation Information & Monitoring Systems,300A,Equipment,Expenses,"107,664"
Transportation Services,TP-Transportation Safety & Operations,Transportation Information & Monitoring Systems,400A,Service And Rent,Expenses,"8,071,968"
Transportation Services,TP-Transportation Safety & Operations,Transportation Information & Monitoring Systems,510A,Contribution To Reserves/Reserve Funds,Expenses,"1,728"
Transportation Services,TP-Transportation Safety & Operations,Transportation Information & Monitoring Systems,650A,Other Expenditures,Expenses,17
Transportation Services,TP-Transportation Safety & Operations,Transportation Information & Monitoring Systems,700A,Inter-Divisional Charges,Expenses,"276,319"
Transportation Services,TP-Transportation Safety & Operations,Transportation Studies & Investigations,100A,Salaries And Benefits,Expenses,"9,770,200"
Transportation Services,TP-Transportation Safety & Operations,Transportation Studies & Investigations,200A,Materials & Supplies,Expenses,"124,450"
Transportation Services,TP-Transportation Safety & Operations,Transportation Studies & Investigations,300A,Equipment,Expenses,"63,218"
Transportation Services,TP-Transportation Safety & Operations,Transportation Studies & Investigations,400A,Service And Rent,Expenses,"902,454"
Transportation Services,TP-Transportation Safety & Operations,Transportation Studies & Investigations,510A,Contribution To Reserves/Reserve Funds,Expenses,"20,389"
Transportation Services,TP-Transportation Safety & Operations,Transportation Studies & Investigations,650A,Other Expenditures,Expenses,17
Transportation Services,TP-Transportation Safety & Operations,Transportation Studies & Investigations,700A,Inter-Divisional Charges,Expenses,"350,141"
Yonge-Dundas Square,Yd-Public Square And Event Venue,Yd-Public Square And Event Venue,100A,Salaries And Benefits,Expenses,"582,305"
Yonge-Dundas Square,Yd-Public Square And Event Venue,Yd-Public Square And Event Venue,200A,Materials & Supplies,Expenses,"192,925"
Yonge-Dundas Square,Yd-Public Square And Event Venue,Yd-Public Square And Event Venue,300A,Equipment,Expenses,"40,000"
Yonge-Dundas Square,Yd-Public Square And Event Venue,Yd-Public Square And Event Venue,400A,Service And Rent,Expenses,"1,516,512"
Yonge-Dundas Square,Yd-Public Square And Event Venue,Yd-Public Square And Event Venue,510A,Contribution To Reserves/Reserve Funds,Expenses,"2,773"
